,match,course_code,Compulsory
ECON 20800,0,ECON 20100,True
ECON 20800,1,MATH 20300,True
ECON 20900,0,ECON 20100,True
ECON 20900,1,STAT 24400,True
ECON 20900,2,STAT 24410,False
ECON 20900,3,STAT 24500,True
ECON 20900,4,MATH 20250,False
ECON 21000,0,ECON 20100,True
ECON 21000,1,STAT 23400,True
ECON 21000,2,MATH 19620,False
ECON 21000,3,MATH 20000,False
ECON 21000,4,STAT 24300,False
ECON 21100,0,ECON 20900,False
ECON 21110,0,ECON 20900,False
ECON 21150,0,ECON 20900,False
ECON 21200,0,ECON 20900,False
ECON 21410,0,ECON 20100,True
ECON 21410,1,ECON 20900,False
ECON 21800,0,ECON 20100,True
ECON 22650,0,ECON 19800,False
ECON 23000,0,ECON 20300,True
ECON 23000,1,ECON 21000,False
ECON 23200,0,ECON 20300,True
ECON 23220,0,ECON 20300,True
ECON 23220,1,ECON 21000,False
ECON 23330,0,ECON 20300,True
ECON 23410,0,ECON 20300,True
ECON 23410,1,ECON 20900,False
ECON 23620,0,ECON 20300,True
ECON 23620,1,ECON 20900,False
ECON 24000,0,ECON 20100,True
ECON 24030,0,ECON 20100,True
ECON 24030,1,ECON 21000,False
ECON 24450,0,ECON 20100,True
ECON 24450,1,ECON 21000,False
ECON 25000,0,ECON 20300,True
ECON 25000,1,STAT 23400,True
ECON 25100,0,ECON 20100,True
ECON 26020,0,ECON 21000,True
ECON 26530,0,ECON 20000,False
ECON 26530,1,ECON 20100,False
ECON 26530,2,PBPL 20000,False
ECON 26530,3,PBPL 22200,False
ECON 26530,4,STAT 22000,False
ECON 26530,5,STAT 23400,False
ECON 26530,6,PBPL 26400,False
ECON 26530,7,ECON 20000,True
ECON 26530,8,ECON 20100,True
ECON 26540,0,ECON 20000,False
ECON 26540,1,ECON 20100,False
ECON 26540,2,PBPL 20000,False
ECON 26540,3,PBPL 22200,False
ECON 26540,4,STAT 22000,False
ECON 26540,5,STAT 23400,False
ECON 26540,6,PBPL 26400,False
ECON 26540,7,ECON 20000,True
ECON 26540,8,ECON 20100,True
ECON 26600,0,ECON 20100,True
ECON 26800,0,ECON 20100,True
ECON 28100,0,ECON 20100,True
ECON 28700,0,ECON 21000,False
CMSC 10200,0,MATH 13100,False
CMSC 11000,0,MATH 13100,False
CMSC 11100,0,MATH 13100,False
CMSC 12100,0,MATH 15200,False
CMSC 12200,0,CMSC 12100,True
CMSC 12300,0,CMSC 12200,True
CMSC 15100,0,MATH 15100,False
CMSC 15100,1,MATH 13100,True
CMSC 15200,0,CMSC 15100,True
CMSC 15200,1,CMSC 16100,True
CMSC 15200,2,CMSC 12100,False
CMSC 15200,3,CMSC 10500,True
CMSC 15400,0,CMSC 15200,True
CMSC 15400,1,CMSC 16200,False
CMSC 15400,2,CMSC 12300,True
CMSC 16100,0,MATH 16100,False
CMSC 16200,0,CMSC 16100,False
CMSC 16200,1,CMSC 15100,True
CMSC 22001,0,CMSC 15400,True
CMSC 22010,0,CMSC 15400,True
CMSC 22100,0,CMSC 15400,True
CMSC 22200,0,CMSC 15400,True
CMSC 22300,0,CMSC 15100,False
CMSC 22311,0,CMSC 16100,True
CMSC 22311,1,CMSC 15400,False
CMSC 22630,0,CMSC 22100,True
CMSC 22630,1,CMSC 22600,False
CMSC 22630,2,CMSC 22610,True
CMSC 23000,0,CMSC 15400,True
CMSC 23000,1,CMSC 22200,True
CMSC 23000,2,CMSC 22600,True
CMSC 23000,3,CMSC 22610,True
CMSC 23000,4,CMSC 23300,True
CMSC 23000,5,CMSC 23400,True
CMSC 23000,6,CMSC 23500,True
CMSC 23000,7,CMSC 23700,True
CMSC 23000,8,CMSC 27310,False
CMSC 23010,0,CMSC 15400,True
CMSC 23010,1,CMSC 22200,True
CMSC 23010,2,CMSC 23000,True
CMSC 23010,3,CMSC 23300,True
CMSC 23200,0,CMSC 15400,True
CMSC 23300,0,CMSC 15400,True
CMSC 23400,0,CMSC 15400,True
CMSC 23400,1,CMSC 23000,False
CMSC 23500,0,CMSC 15400,True
CMSC 23700,0,CMSC 15400,True
CMSC 23710,0,CMSC 15400,True
CMSC 23800,0,CMSC 15400,True
CMSC 23800,1,CMSC 23700,True
CMSC 23800,2,CMSC 23000,True
CMSC 23800,3,CMSC 23300,True
CMSC 23800,4,CMSC 23500,True
CMSC 23900,0,CMSC 12200,True
CMSC 23900,1,CMSC 15200,False
CMSC 23900,2,CMSC 16200,True
CMSC 25020,0,CMSC 12200,True
CMSC 25020,1,CMSC 15200,False
CMSC 25020,2,CMSC 16200,False
CMSC 25025,0,CMSC 15400,False
CMSC 25025,1,CMSC 12200,True
CMSC 25025,2,STAT 22200,False
CMSC 25025,3,STAT 23400,False
CMSC 25400,0,CMSC 15400,False
CMSC 25400,1,CMSC 12300,True
CMSC 25400,2,STAT 22000,False
CMSC 27100,0,CMSC 12300,False
CMSC 27100,1,CMSC 15400,False
CMSC 27100,2,MATH 16300,False
CMSC 27130,0,CMSC 12300,False
CMSC 27130,1,CMSC 16300,False
CMSC 27200,0,CMSC 27100,False
CMSC 27200,1,CMSC 37110,False
CMSC 27230,0,CMSC 27100,False
CMSC 27230,1,CMSC 37110,False
CMSC 27410,0,MATH 15900,False
CMSC 27410,1,MATH 25400,False
CMSC 27410,2,CMSC 27100,False
CMSC 27500,0,CMSC 27100,False
CMSC 27500,1,MATH 20400,False
CMSC 27610,0,MATH 15200,False
CMSC 27610,1,CMSC 12200,False
CMSC 27610,2,CMSC 15200,False
CMSC 27610,3,CMSC 16200,True
CMSC 27700,0,MATH 25400,False
CMSC 27700,1,MATH 25700,False
CMSC 27700,2,CMSC 15400,True
CMSC 27700,3,MATH 15910,False
CMSC 27700,4,MATH 15900,False
CMSC 27700,5,MATH 19900,False
CMSC 27800,0,MATH 27700,False
CMSC 27800,1,CMSC 27700,True
CMSC 28000,0,CMSC 12300,False
CMSC 28000,1,CMSC 15400,False
CMSC 28000,2,MATH 15900,False
CMSC 28000,3,MATH 25500,True
CMSC 28100,0,CMSC 27100,False
CMSC 28100,1,MATH 15900,False
CMSC 28100,2,MATH 25500,True
CMSC 28501,0,MATH 20500,False
CMSC 28501,1,MATH 20900,True
CMSC 28501,2,CMSC 12200,False
CMSC 28501,3,CMSC 15200,False
CMSC 28501,4,CMSC 16200,True
HIST 10900,0,SALC 20100,True
HIST 10900,1,ANTH 24101,True
HIST 10900,2,HIST 10800,True
HIST 10900,3,SASC 20000,True
HIST 13003,0,HIST 13001,True
HIST 13600,0,HIST 13500,True
HIST 13700,0,HIST 13600,True
HIST 20403,0,GREK 20300,False
CMST 21019,0,CMST 10100,True
CMST 21019,1,ARTH 20000,True
CMST 21019,2,ENGL 10800,True
CMST 21019,3,ARTV 25300,False
CMST 23904,0,CMST 23930,True
CMST 23904,1,CMST 23931,True
CMST 23905,0,CMST 23930,True
CMST 23905,1,CMST 23931,False
CMST 23905,2,CMST 27600,True
CMST 23931,0,CMST 23930,False
CMST 24615,0,CMST 10100,True
CMST 24615,1,ARTH 20000,True
CMST 24615,2,ENGL 10800,True
CMST 24615,3,ARTV 25300,False
CMST 27220,0,CMST 10100,True
CMST 27220,1,ARTH 20000,True
CMST 27220,2,ENGL 10800,True
CMST 27220,3,ARTV 25300,False
CMST 27600,0,ARTV 10100,True
CMST 27600,1,ARTV 10200,False
CMST 28801,0,ARTV 10100,True
CMST 28801,1,ARTV 10200,False
CMST 28903,0,ARTV 10100,True
CMST 28903,1,ARTV 10200,False
CMST 29800,0,CMST 10100,True
ENSC 13300,0,MATH 13100,True
ENSC 23800,0,CHEM 11100,True
ENSC 23800,1,CHEM 11200,False
ENSC 23805,0,CHEM 11100,True
ENSC 23805,1,CHEM 11200,True
ENSC 23805,2,CHEM 11300,False
ENSC 23805,3,CHEM 13100,True
ENSC 23805,4,CHEM 13200,True
ENSC 23805,5,CHEM 13300,False
ENSC 23820,0,BIOS 27710,True
ENSC 23820,1,BIOS 27713,True
ENSC 23820,2,BIOS 27714,False
ENSC 23820,3,BIOS 27715,True
ENSC 23900,0,CHEM 11101,True
ENSC 23900,1,CHEM 11201,False
ENSC 24000,0,GEOS 13100,True
ENSC 24000,1,GEOS 13200,True
ENSC 24000,2,GEOS 13300,False
ENSC 24100,0,BIOS 27711,True
ENSC 24100,1,BIOS 27713,True
ENSC 24100,2,BIOS 27714,False
ENSC 24100,3,BIOS 27715,True
ENSC 24200,0,BIOS 27710,True
ENSC 24200,1,BIOS 27711,True
ENSC 24200,2,BIOS 27712,True
ENSC 24300,0,BIOS 27710,True
ENSC 24300,1,BIOS 27711,True
ENSC 24300,2,BIOS 27712,True
ENSC 24400,0,BIOS 20150,True
ENSC 24400,1,BIOS 20151,False
ENSC 24500,0,CHEM 11100,True
ENSC 24500,1,CHEM 11200,True
ENSC 24500,2,BIOS 20186,False
ENSC 24500,3,BIOS 20197,False
ENSC 28100,0,BIOS 27710,True
ENSC 28100,1,BIOS 27711,True
ENSC 28100,2,BIOS 27712,True
ENSC 29800,0,BIOS 27710,True
ENSC 29800,1,BIOS 27713,True
ENSC 29800,2,BIOS 27714,False
ENSC 29800,3,BIOS 27715,True
CRWR 12012,0,CRWR 10205,False
CRWR 12014,0,CRWR 10205,False
CRWR 22100,0,CRWR 10205,False
CRWR 22116,0,CRWR 10205,False
PSYC 24000,0,BIOS 24204,False
PSYC 24249,0,BIOS 24203,False
HIST 13003,0,HIST 13001,True
HIST 13600,0,HIST 13500,True
HIST 13700,0,HIST 13600,True
SALC 20200,0,SALC 20100,True
SALC 20200,1,ANTH 24101,True
SALC 20200,2,HIST 10800,True
SALC 20200,3,SASC 20000,True
MENG 23000,0,MATH 20000,True
MENG 23000,1,MATH 20100,False
MENG 23000,2,MATH 22000,False
MENG 23100,0,MATH 20000,True
MENG 23100,1,MATH 20100,False
MENG 23100,2,MATH 22000,False
MENG 23100,3,PHYS 22100,True
MENG 23100,4,CHEM 11300,False
MENG 23100,5,CHEM 12300,False
MENG 23100,6,PHYS 13300,False
MENG 23100,7,PHYS 14300,True
MENG 24100,0,MATH 20000,True
MENG 24100,1,MATH 20100,False
MENG 24100,2,MATH 22000,False
MENG 25000,0,MENG 20000,True
MENG 26010,0,MATH 20100,True
MENG 26010,1,MATH 20500,False
MENG 26010,2,PHYS 22100,True
MENG 26010,3,CHEM 11300,False
MENG 26020,0,PHYS 13300,False
MENG 26020,1,PHYS 14300,True
MENG 26020,2,MATH 20100,False
MENG 26020,3,PHYS 22100,False
MENG 26020,4,MATH 20500,False
MENG 26020,5,MATH 20900,True
MENG 26030,0,MENG 26010,False
MENG 27100,0,BIOS 20186,True
MENG 27100,1,BIOS 20187,True
MENG 27200,0,MENG 26030,True
MENG 27300,0,PHYS 19700,False
MENG 27300,1,CHEM 26100,False
MENG 29500,0,MENG 26202,True
MENG 29600,0,MENG 29700,False
CATA 11200,0,CATA 11100,True
CATA 11200,1,CATA 12200,False
CATA 21100,0,CATA 11200,True
CATA 21100,1,CATA 12300,False
CATA 29700,0,CATA 10300,False
CATA 29700,1,CATA 20200,True
FREN 10200,0,FREN 10100,False
FREN 10300,0,FREN 10200,False
FREN 20100,0,FREN 10300,False
FREN 20200,0,FREN 20100,False
FREN 20300,0,FREN 20200,False
FREN 20500,0,FREN 20300,False
FREN 20601,0,FREN 20300,False
FREN 21503,0,FREN 20500,False
FREN 21740,0,FREN 20500,False
FREN 23333,0,FREN 10200,False
FREN 23711,0,FREN 20500,True
FREN 29700,0,FREN 10300,False
FREN 29700,1,FREN 20300,True
ITAL 10200,0,ITAL 10100,False
ITAL 10300,0,ITAL 10200,False
ITAL 20100,0,ITAL 10300,False
ITAL 20200,0,ITAL 20100,False
ITAL 20300,0,ITAL 20200,False
ITAL 20400,0,ITAL 20300,True
ITAL 21100,0,ITAL 20300,False
ITAL 29700,0,ITAL 10300,False
ITAL 29700,1,ITAL 20300,True
PORT 10200,0,PORT 10100,False
PORT 10300,0,PORT 10200,False
PORT 12200,0,SPAN 20100,False
PORT 20100,0,PORT 10300,False
PORT 20200,0,PORT 20100,False
PORT 21500,0,PORT 20200,False
PORT 29700,0,PORT 10300,False
PORT 29700,1,PORT 20200,True
SPAN 10200,0,SPAN 10100,False
SPAN 10300,0,SPAN 10200,False
SPAN 20100,0,SPAN 10300,False
SPAN 20200,0,SPAN 20100,False
SPAN 20300,0,SPAN 20200,False
SPAN 20400,0,SPAN 20300,False
SPAN 20500,0,SPAN 20400,False
SPAN 21100,0,SPAN 20300,False
SPAN 21500,0,SPAN 20300,False
SPAN 21703,0,SPAN 20300,False
SPAN 21803,0,SPAN 20300,False
SPAN 21903,0,SPAN 20300,False
SPAN 22003,0,SPAN 20300,False
SPAN 23333,0,SPAN 10200,False
SPAN 28116,0,SPAN 20300,False
SPAN 29700,0,SPAN 10300,False
SPAN 29700,1,SPAN 20300,True
